epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17015.8,1.42041,1.20124,1.57484,0.58222,0.4829,0.46535,0.21047,1.8508,1.90551,1.8358,0.005842,0.005842,0.005842
44,17412.4,1.40693,1.18891,1.57377,0.55544,0.52022,0.50661,0.22267,1.85276,1.8105,1.83758,0.005743,0.005743,0.005743
45,17807.8,1.40163,1.17452,1.56118,0.62819,0.49977,0.5092,0.23128,1.8646,1.78371,1.8521,0.005644,0.005644,0.005644
46,18203.5,1.39769,1.15892,1.55946,0.56385,0.50091,0.50018,0.22523,1.84611,1.8843,1.82866,0.005545,0.005545,0.005545
47,18599.1,1.3917,1.14867,1.56005,0.55924,0.56712,0.51685,0.22653,1.84567,1.78192,1.83784,0.005446,0.005446,0.005446
48,18995.2,1.38265,1.13921,1.55162,0.5635,0.49867,0.49047,0.2241,1.85468,1.82302,1.8473,0.005347,0.005347,0.005347
49,19390.9,1.37752,1.12799,1.54868,0.54709,0.50646,0.4777,0.21826,1.87174,1.92351,1.86228,0.005248,0.005248,0.005248
50,19786.7,1.37121,1.12298,1.5491,0.60147,0.5074,0.49687,0.2164,1.86882,1.84251,1.86495,0.005149,0.005149,0.005149
51,20182.4,1.3598,1.11255,1.53894,0.57986,0.53152,0.50002,0.22129,1.85822,1.91702,1.85443,0.00505,0.00505,0.00505
52,20578.3,1.35979,1.10518,1.53662,0.56722,0.54656,0.50735,0.22551,1.86258,1.90229,1.85893,0.004951,0.004951,0.004951
53,20973.9,1.36474,1.09245,1.53215,0.63268,0.47727,0.49294,0.22073,1.88226,1.91979,1.86658,0.004852,0.004852,0.004852
54,21369.8,1.34959,1.076,1.52658,0.56841,0.52324,0.49413,0.21944,1.89946,1.92174,1.8781,0.004753,0.004753,0.004753
55,21768.4,1.35716,1.07499,1.53326,0.56118,0.53816,0.50364,0.22217,1.90879,1.88643,1.87987,0.004654,0.004654,0.004654
56,22184,1.33392,1.07258,1.51887,0.56527,0.5121,0.50964,0.22078,1.89714,1.86343,1.87874,0.004555,0.004555,0.004555
57,22629.5,1.34242,1.05859,1.51937,0.60485,0.50376,0.50334,0.22157,1.90092,1.86554,1.88302,0.004456,0.004456,0.004456
58,23071.1,1.32495,1.05708,1.50931,0.64288,0.44386,0.50063,0.21763,1.9059,1.88428,1.88917,0.004357,0.004357,0.004357
59,23512.3,1.33255,1.04195,1.51485,0.62836,0.46142,0.49925,0.21976,1.90151,1.8955,1.88358,0.004258,0.004258,0.004258
60,23953.5,1.31959,1.03302,1.50188,0.58828,0.50698,0.50315,0.22002,1.90396,1.91371,1.89075,0.004159,0.004159,0.004159
